species_code,scientific_name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CHITON,Chiton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
CHOCAN,Chondracanthus canaliculatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
CHOSPI,Chondracanthus spinosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,NA,X,X
CLACOL,Cladophora columbiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
COLPOM,Colpomenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,NA,X,X
CRUCOR,Crustose corallines,NA,NA,NA,NA,NA,NA,X,X,X,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
DEABAL,Dead Balanus glandula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X
DEACHT,Dead Chthamalus dalli; fissus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X
DEAMCA,Dead Mytilus californianus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X
DEAMTR,Dead Mytilus trossulus; galloprovincialis; edulis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X
DEATET,Dead tetraclita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X
EGRMEN,Egregia menziesii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
EISARB,Eisenia arborea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
ENDPET,Endarachne / Petalonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
ENDMUR,Endocladia muricata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
FUCGAR,Fucus gardneri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
GASTRO,Gastroclonium species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,NA,X,X
GELSPP,Gelidium species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,NA,X,X
HALCYS,Halidrys dioica/Cystoseira spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,NA,NA
HESCAL,Hesperophycus californica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
LAUSPP,Laurencia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,NA,X,X
LIMPET,Limpet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
LOTGIG,Lottia gigantea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
MASPAP,Mastocarpus papillatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
MAZAFF,Mazzaella affinis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
MAZSPP,Mazzaella spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,NA,X,X
MEXLUG,Mexacanthina lugubris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
OTHANI,miscellaneous animal,X,X,X,X,X,X,X,X,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MUSSEL,mussel,X,X,X,X,X,X,X,X,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MYTCAL,Mytilus californianus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
NONCRU,Non-coralline crust,NA,NA,NA,NA,NA,NA,X,X,X,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
OSMSPP,Osmundea species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,NA,X,X
OTHBAR,other barnacles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
OTHBRO,other brown algae,NA,NA,NA,NA,NA,NA,X,X,X,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
DEAINV,Other dead invertebrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X
OTHGRE,other green algae,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
OTHINV,other invertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
OTHPLA,other plants,X,X,X,X,X,X,NA,NA,NA,X,NA,NA,NA,X,X,X,X,X,X,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
OTHPLALG,other plants/algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,NA,X,X
OTHRED,other red algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
OTHSUB,other substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,X,X,X,NA,X,X
PELCOM,Pelvetia compressa,X,X,X,X,X,X,X,X,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PELLIM,Pelvetiopsis limitata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
PHRCAL,Phragmatopoma californica,NA,NA,NA,NA,NA,NA,NA,X,X,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
PHYOVR,Phyllospadix scouleri/torreyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
PISOCH,Pisaster ochraceus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
POLPOL,Pollicipes polymerus,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
PORSPP,Porphyra spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
REDTF,red algal turf,NA,NA,NA,NA,NA,NA,X,NA,X,NA,X,X,X,X,X,X,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROCKBOLT,rock-bolt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROCKZSPAR,rock-z-spar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAND,Sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
SARMUT,Sargassum muticum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
SCYSPP,Scytosiphon spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
SILCOM,Silvetia compressa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
STEDIO,Stephanocystis dioica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,NA,X,X
STESPP,Stephanocystis spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
TAR,Tar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
TETRUB,Tetraclita rubescens,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
TURF,turf low filamentous (undifferentiated),NA,NA,NA,NA,NA,NA,X,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ULVSPP,Ulva spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,NA,X,X
ULVENT,Ulva/Enteromorpha,NA,NA,NA,NA,NA,NA,X,X,X,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
UNIDEN,unidentified,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
UNIALG,unidentified algae,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNIINV,unidentified invertebrates,NA,NA,NA,NA,NA,NA,X,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNSCORE,Unscorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
UNSCOREALGAE,unscorable-drift algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
UNSCOREROCK,unscorable-off rock edge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
UNSCORESHADOW,unscorable-shadow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
UNSCORESHOE,unscorable-shoe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
